순번,여행지명,사진파일,위도,경도,연락처,주소,여행일,설명
1,정감이마을,http://www.welchon.com/upload/travelsub/20180115143219166.bmp,37.7205624,128.961164,033-645-6116,강원 강릉시 강동면 둔지길 13,1,"* 추천 체험 거리 : 정감이마을 등산로 산책, 정감이 능이백숙 체험 * 숙박 : 마을 내 숙박 시설 이용 가능 * 소재지 : 강원도 강릉시 강동면 둔지길 13 * 문의 :  033-645-6116, http://www.jgmvill.com"
2,정동진,http://www.welchon.com/upload/travelsub/20180117131707620.jpg,37.6914429,129.0326875,033-640-4536,강원 강릉시 강동면 정동역길 17,2,(사진 : 강릉시청)
3,모래시계공원,http://www.welchon.com/upload/travelsub/20180117132509448.jpg,37.6869194,129.0359676,033-640-4533,강원 강릉시 강동면 헌화로 1030,2,(사진 : 아름여행사)
4,강릉올림픽파크,http://www.welchon.com/upload/travelsub/20180117152652947.jpg,37.7792396,128.8970908,,강원 강릉시 수리골길 102 (포남동),1,전화 : 1330(올림픽 특별 콜센터)
5,오죽헌,http://www.welchon.com/upload/travelsub/20180117131254767.jpg,37.7782583,128.8766375,033-660-3301,강원 강릉시 율곡로3139번길 24 (죽헌동),1,"관람시간 : 하절기 8:00~18:30, 동절기 9:00~18:00 (연중무휴) 문화관광 해설 : 9:30~17:00 입장료 : 성인 3,000원, 청소년/군인 2,000원, 어린이 1,000원 주차 : 무료"
6,덕풍계곡마을,http://www.welchon.com/upload/travelsub/20200810162933085.jpg,,,033-576-0394,강원 삼척시 가곡면 풍곡안길 17-18,1,"자연으로 만나는 덕풍계곡뿐 아니라, 즐길 거리와 먹거리, 잠자리 등 편안한 휴식처가 준비되어 있다."
7,고천마을,http://www.welchon.com/upload/travelsub/20201203155930906.jpg,,,033-572-0995,강원 삼척시 미로면 고내로 138-19,1,때 묻지 않은 농촌의 추억을 간직한 농촌 마을
8,양구선사박물관,http://www.welchon.com/upload/travelsub/20191008135214051.jpg,38.1228444,127.9881955,033-480-2677,강원 양구군 양구읍 금강산로 439-52,1,"양구선사박물관은 양구를 중심으로 북한강유역에서 발굴 조사된 선사유적을 소개하는 박물관이다. 양구 상무룡리 구석기유적, 양구 고대리, 공수리 청동기시대 유적, 양구 해안 만대리 선사유적 등과 춘천, 화천, 홍천, 인제 등지의 북한강  유역에서 발굴된 유물을 생생하게 보여주고 있으며 부지 내에는 향토사료관과 고인돌 공원이 있다. "
9,낙산사,http://www.welchon.com/upload/travelsub/20180214161430988.jpg,38.1245766,128.6301521,033-672-2417,강원 양양군 강현면 낙산사로 100,1,
10,주전골 트레킹,http://www.welchon.com/upload/travelsub/20180214161334594.jpg,38.0778914,128.4477606,033-672-2883,강원 양양군 서면 대청봉길 58-52,1,
11,송천떡마을,http://www.welchon.com/upload/travelsub/20180222151827282.jpg,38.0517036,128.5543971,033-673-8977,강원 양양군 서면 떡마을길 107,1,"* 추천 체험거리 : 떡메치기, 찹쌀떡 만들기, 인절미 만들기 등"
12,양양전통시장,http://www.welchon.com/upload/travelsub/20180214161418134.jpg,38.0750161,128.6232162,033-671-2878,강원 양양군 양양읍 남문5길 9,1,지역장터 사진출처 : 양양전통시장홈페이지
13,38평화마을,http://www.welchon.com/upload/travelsub/20190724101128668.jpeg,37.999189,128.726011,033-671-0305,강원 양양군 현북면 쟁기동길 71-20,1,
14,용소막마을,http://www.welchon.com/upload/travelsub/20190829111256820.jpg,37.2107505,128.0838466,033-763-5330,강원 원주시 신림면 구학산로 1829,1,"용소막마을은 용의 형상 중 두 발가락에 해당되는 지역이라 하여 붙여진 이름을 가지고 있다. 마을에 들어서자마자 한 눈에 펼쳐지는 황금들판으로 알 수 있듯이 마을에서는 주로 벼농사를 짓고 있다. 특히 친환경농법인 우렁이 농법으로 벼를 재배해서, 마을을 지나다보면 논 속에 열심히 풀과 잡초를 먹고 있는 커다란 우렁이를 볼 수 있고 이외에도 마을에서는 옥수수, 고추, 배추 등을 재배해 판매하고 있다. 특히 용소막마을에서 재배한 옥수수는 식감이 쫄깃쫄깃하고 달기로 유명하다. 마을 내 젖소농장에서는 아침에 짠 우유를 재료로 우유아이스크림을 만들고 리코타 치즈를 만들어 볼 수 있다.   - 주소 : 강원도 원주시 신림면 구학산로 1829  - 문의 : 033-763-5330"
15,용소막성당,http://www.welchon.com/upload/travelsub/20190829111427696.jpg,37.2122877,128.0852195,033-733-2341,강원 원주시 신림면 구학산로 1857,1,"영소막성당은 3대 주임 시잘레 신부가 중국인 기술자를 고용하여 성당 신축공사를 시작하였으며, 착공한 지 3년만인 1915년 벽돌 양옥 성당을 완공하였다.    - 주소 : 강원도 원주시 신림면 구학산로 1857  - 문의 : 033-733-2341 "
16,고판화박물관,http://www.welchon.com/upload/travelsub/20190829112505102.jpg,37.2571883,128.1263341,033-761-7885,강원 원주시 신림면 물안길 62,1,"오솔길을 따라 올라가다보면 사방으로 둘러싸인 산 속에 명주사와 그 옆의 고판화 박물관이 고즈넉하게 위치해 있다. 고판화 박물관은 한석학 주지스님이 10년 동안 중국, 일본, 네팔, 몽골 등지에서 수집한 고판화 2500여 점을 2003년 일반인에게 공개하면서 시작했다. 판화를 지속적으로 수집하고 있어 지금은 목판원판과 인출된 서적, 원본판화 4,000여점을 소장하고 있으며 아시아 각국 고판화와 희귀 목판을 감상할 수 있다. 대표적인 소장품으로 조선시대 최고의 목판인 '오륜행실도목판', '용비어천가'가 있다.    - 주소 : 강원도 원주시 신림면 물안길 62  - 문의 :  033-761-7885, 010-2411-7885  - 시간 : 하절기 10:00~18:00, 동절기 10:00~17:00  - 요금 : 대인 5천원, 청소년 3천원, 어린이 1천원, 매주 월요일 휴관 "
17,성황림마을,http://www.welchon.com/upload/travelsub/20190829111822207.jpg,37.3067171,128.0515988,033-763-7657,강원 원주시 신림면 성남로 345,1," 마을 주민들은 토지와 마을을 지켜주는 성황신에게 매년 음력 4월9일, 9월9일, 마을의 평화를 기원하며 성황제를 지낸다. 성황당 옆에는 성황신이 타고 내려온다는 300년이 넘은 전나무가 하늘 높이 뻗어 있다. 이 외에도 마을에서는 자연의 재료를 활용한 자연재료 목공체험과 삼색 수제비 만들기 등의 체험을 할 수 있다.   - 주소 : 강원도 원주시 신림면 성남로  - 문의 : 033-763-7657"
18,성황림 숲,http://www.welchon.com/upload/travelsub/20190829112027798.jpg,37.2741142,128.0780935,033-763-7657,강원 원주시 신림면 성남로 345,1,"성황림은 천연기념물로 지정된 숲으로 성황림 마을의 대표적인 체험이 바로 성황림 숲 체험입니다. 성황림 숲은 온대지방을 대표하는 낙엽 활엽수림으로 각 계절별 숲의 모습과 나무, 야생화, 동물들의 이야기를 듣고 만나볼 수 있다. 성황림 마을과 함께 맞닿아 있는 성황숲은 그 겉모습부터가 신비로운 분위기를 자아냈습니다. 성황림 숲이 위치한 신림면의 이름이 ‘신들이 많은 숲’이라는 뜻을 가지고 있는데 그 신들이 사는 곳이 바로 성황림이다.  - 주소 : 강원도 원주시 신림면 성남로   - 문의 : 033-763-7657(성황림마을 문의) "
19,치악산상원사,http://www.welchon.com/upload/travelsub/20190829112822959.JPG,37.3067171,128.0515988,033-765-1608,강원 원주시 신림면 성남로 930,1,"치악산 상원사는 해발 1084m에 위치한 사찰이다. 지리산 법계사(1450m), 설악산 봉정암(1244m)에 이어 세 번째로 높은 곳에 위치한 사찰이며 ‘은혜 갚은 꿩의 전설’이 전해지는 범종을 가지고 있으며. 절 한 쪽에 ‘보은의 종 유래비’가 세워져 있다.   - 주소 : 강원도 원주시 신림면 성남로 930  - 문의 : 033-765-1608 "
