업소명,유형,소재지,주메뉴,전화번호,위도 ,경도,데이터기준일자
어부횟집,일식,"인천광역시 서구 검단로 467, 201호-202호(왕길동, 다섬프라자)","어부만선코스:170000, 어부A코스:130000",032-568-2922,37.60183127,126.6562774,2021-07-28
강선생막국수,한식,인천광역시 서구 담지로86번길 5-41(청라동),"막국수:7000, 만두전골:8000",032-576-3939,37.53793,126.66212,2021-07-28
희래등,중식,인천광역시 서구 탁옥로86번길 6-1(심곡동),"망고크림새우(소):40000, 멘보샤(소):28000",032-565-5100,37.54312419,126.6789212,2021-07-28
한울능이버섯오리백숙,한식,인천광역시 서구 청라에메랄드로163번길 3-9(청라동),"능이버섯오리백숙:60000, 토종닭백숙:60000",032-561-8252,37.53920505,126.6557717,2021-07-28
석남동함흥냉면,한식,인천광역시 서구 석남로 87(석남동),"냉면:8000, 돼지갈비:14000",032-583-8445,37.50110712,126.6714732,2021-07-28
김생곤의 육해공,한식,"인천광역시 서구 원창로64번길 16-8, 1층(원창동)","전복낙지갈비탕:25000, 갈비탕:12000",032-565-8444,37.51772666,126.6535663,2021-07-28
해아낙,한식,인천광역시 서구 청라에메랄드로163번길 3-7(연희동),"해물찜(대):69000, 아귀찜(대):59000",032-571-7007,37.53920749,126.6559866,2021-07-28
태백산,한식,인천광역시 서구 서곶로315번길 26(심곡동),"돼지왕갈비:16000, 소고기:31000",032-567-3331,37.54600532,126.6739026,2021-07-28
영빈관,중식,"인천광역시 서구 승학로236번길 28, 2층(심곡동)","유니짜장:6000, 찹쌀탕수육(대):25000",032-563-0288,37.54332132,126.6756022,2021-07-28
권오길손국수본점,한식,"인천광역시 서구 검단로 789, 1층(불로동)","즉석칼국수:8000, 냉말이:7000",032-564-7541,37.61541759,126.6866379,2021-07-28
참맛나쭈꾸미,한식,인천광역시 서구 건지로 372(가좌동),"주꾸미볶음:20000~37000, 부대찌개:7000",032-581-7882,37.49653232,126.6829646,2021-07-28
바다뚝배기동태탕,한식,인천광역시 서구 푸른로16번길 3(경서동),"동태탕:8000, 알찜:43000, 동태내장전골:40000",032-578-2580,37.5240062,126.6299908,2021-07-28
유천가든,한식,인천광역시 서구 아라로51번길 6-1(시천동),"오리진흙구이:63000, 오리로스:39000",032-567-7723,37.57262571,126.6815364,2021-07-28
청수한방횡계백숙,한식,인천광역시 서구 서곶로255번길 7(심곡동),"닭볶음탕:45000, 한방오리백숙:50000",032-567-2446,37.54025097,126.6757923,2021-07-28
가정옥,한식,인천광역시 서구 가정로352번길 3(가정동),"삼계탕:13000, 꼬리찜(대):65000, 꼬리찜(소):55000",032-583-6783,37.51628334,126.6733423,2021-07-28
해촌,한식,인천광역시 서구 서곶로315번길 13,쭈꾸미철판볶음,032-352-2288,37.54565,126.67525,2021-07-28
뜨락민물장어간장게장,한식,인천광역시 서구 담지로86번길 16-37(청라동),"장어구이(1kg):69000, 간장게장:25000",032-511-8081,37.53654393,126.6618501,2021-07-28
이계종李복집,일식,인천광역시 서구 가정로 168(석남동),"복해장국:8000~20000, 지리탕:25000",032-576-7022,37.49969267,126.6722898,2021-07-28
토향해물전문점,한식,인천광역시 서구 원창로229번길 34-2(가정동),"박속낙지탕:15000, 낙지볶음(대):35000",032-576-7895,37.52040324,126.6751473,2021-07-28
교동찹쌀순대,한식,인천광역시 서구 심곡로55번길 5(심곡동),"순대국밥:7000, 모듬수육(대):25000",032-563-3838,37.54255725,126.6757628,2021-07-28
금강산추어탕,한식,인천광역시 서구 탁옥로51번길 13-8(심곡동),"추어탕:7000, 삼겹살(1인분):12000",032-565-9929,37.54539871,126.6744452,2021-07-28
진천토종순대,한식,인천광역시 서구 신진말로 37(가좌동),"순대전골:30000, 순대국밥:7000",032-574-0798,37.49333339,126.6797074,2021-07-28
좋은나무,한식,"인천광역시 서구 건지로 401, 2층(가좌동, 에이스프라자)","떡갈비정식:15000, 우엉불고기정식:15000",032-571-7657,37.49572874,126.6860546,2021-07-28
자연쌈밥앤미역국,한식,인천광역시 서구 대평로7번길 4(심곡동),우렁쌈밥&미역국,032-565-9984,37.54689385,126.676003,2021-07-28
초애삼계탕,한식,인천광역시 서구 담지로86번길 16(청라동),영양삼계탕,032-565-9222,37.53746897,126.6615847,2021-07-28
마담소,한식,인천광역시 서구 원적로 120(가좌동),굴림만두,032-574-8506,37.49645097,126.6845606,2021-07-28
서해갯마을,한식,인천광역시 서구 명가골로 35(석남동),전복연포탕,032-577-7709,37.51298486,126.6732762,2021-07-28
구도로통닭,한식,인천광역시 서구 청라커낼로260번길 15(청라동),마늘쫑닭,032-565-9283,37.53207872,126.6463617,2021-07-28
남원추어탕 금화정,한식,"인천광역시 서구 승학로512번길 17, 1층",추어탕,032-564-9919,37.56431,126.67736,2021-07-28
진천토종순대,한식,인천광역시 서구 검암로30번길 10(검암동),모듬전골,032-565-8665,37.56669629,126.6814711,2021-07-28
월출산흑염소추어탕,한식,"인천광역시 서구 서곶로315번길 17, 1층","흑염소수육, 흑염소탕",032-566-0656,37.54552,126.67464,2021-07-28
도담초밥,일식,인천광역시 서구 탁옥로 17 (심곡동),"모듬초밥, 연어덮밥",032-567-0716,37.54419,126.67141,2021-07-28
장춘닭개장,한식,"인천광역시 서구 원당대로 526, 1층","닭개장, 닭볶음탕",032-562-9966,37.59254,126.65969,2021-07-28
원갈비,한식,인천광역시 서구 심곡로8번길 4,청국장,032-567-5665,37.54173,126.67021,2021-07-28
촌장골,한식,인천광역시 서구 서곶로 850,불고기,032-569-4112,37.59303,126.67431,2021-07-28
만흥,중식,인천광역시 서구 신석로 56,"오향장육냉채, 냉짬뽕",032-574-5553,37.51002,126.66813,2021-07-28
문경주의매콤코다리,한식,인천광역시 서구 장고개로 377,매콤코다리조림,032-571-1007,37.49531,126.69002,2021-07-28
