시설명,소재지도로명주소,소재지지번주소,위도,경도,일일생산량,심도,활용사항,관리기관명
늘푸른 도서관,"전라북도 군산시 하나운로 17, (나운동)",전라북도 군산시 나운동 153-8번지 ,35.96051837,126.6990479,300,150,식수,나운3동
은파 제2주차장,,전라북도 군산시 나운동 1222-33번지 ,35.95283913,126.6915254,288,150,생활용수,나운3동
금강터널 앞,,전라북도 군산시 사정동 552번지 ,35.96910139,126.7485428,170,150,식수,개정동
시민문화회관,"전라북도 군산시 대학로 308, (나운동)",전라북도 군산시 나운동 790-3번지 ,35.96691018,126.6942425,324,85,생활용수,나운1동
군산시청,"전라북도 군산시 시청로 17, (조촌동)",전라북도 군산시 조촌동 888번지 ,35.96763599,126.7368362,178,155,생활용수,조촌동
감리교회 옆,"전라북도 군산시 서당길 56-6, (구암동)",전라북도 군산시 구암동 59-18번지 ,35.97605275,126.7531344,70,150,생활용수,구암동
명산시장 옆,,전라북도 군산시 송창동 3-92번지 ,35.98215616,126.7106356,80,80,생활용수,월명동
둔율동169,,전라북도 군산시 둔율동 169-3번지 ,35.98107886,126.7152326,150,120,생활용수,월명동
서초등학교,"전라북도 군산시 중앙로 230, (금동)",전라북도 군산시 금동 20-3번지 ,35.99066531,126.7065715,90,90,식수,해신동
군산여자고등학교,"전라북도 군산시 월명1길 16, (월명동)",전라북도 군산시 월명동 37-1번지 ,35.98518722,126.7033673,90,100,생활용수,월명동
아센 휘트니스 사우나,"전라북도 군산시 구영신창길 50, (월명동)",전라북도 군산시 월명동 1-11번지 ,35.98671663,126.7081329,150,100,식수,월명동
항도장,전라북도 군산시 구영신창7길 69,전라북도 군산시 신창동 46-1,35.95808693,126.7151391,200,140,식수,월명동
문화장,"전라북도 군산시 장미2길 20, (장미동)",전라북도 군산시 장미동 5-17번지 ,35.98810265,126.7163609,150,150,식수,월명동
그랜드장,"전라북도 군산시 1길 21, (장미동)",전라북도 군산시 장미동  14-9번지,35.98872238,126.7144767,90,150,식수,월명동
외산빌딩,전라북도 군산시 죽성로 9-6,전라북도 군산시 장미동  2-58번지,35.95808693,126.7151391,90,110,식수,월명동
흥남초등학교,"전라북도 군산시 서흥안2길 20, (문화동)",전라북도 군산시 문화동 21번지 ,35.97177085,126.7086866,90,100,식수,신풍동
문화초등학교,"전라북도 군산시 문화안길 51, (문화동)",전라북도 군산시 문화동 895-1번지 ,35.97470707,126.7034942,90,90,생활용수,신풍동
군산기계고등학교,"전라북도 군산시 군중길 28, (송풍동)",전라북도 군산시 송풍동 762번지 ,35.97727767,126.7003476,90,40,생활용수,신풍동
청솔목욕탕,"전라북도 군산시 신풍길 7, (신풍동)",전라북도 군산시 신풍동 886-38번지 ,35.97944457,126.7048805,150,200,생활용수,신풍동
목욕나라,"전라북도 군산시 서흥안2길 30, (문화동)",전라북도 군산시 문화동 904-1번지 ,35.97228645,126.7080241,180,200,생활용수,신풍동
금광초등학교,"전라북도 군산시 대학로 100, (금광동)",전라북도 군산시 금광동 168번지 ,35.98218993,126.7062328,70,100,생활용수,삼학동
중앙초등학교,"전라북도 군산시 중앙로 91, (중앙로2가)",전라북도 군산시 중앙로2가 145번지 ,35.98146846,126.7162686,90,90,생활용수,중앙동
풍문초등학교,"전라북도 군산시 풍마길 22, (장재동)",전라북도 군산시 장재동 45-19번지 ,35.97727703,126.7187425,70,90,식수,흥남동
군산남초등학교,"전라북도 군산시 삼학7길 4, (삼학동)",전라북도 군산시 미원동 343번지,35.97826318,126.714879,90,90,식수,흥남동
서흥중학교,"전라북도 군산시 축동로 129, (서흥남동)",전라북도 군산시 서흥남동 853번지 ,35.97157702,126.7091,70,90,식수,흥남동
두꺼비 목욕탕,"전라북도 군산시 동팔마길 31, (장재동)",전라북도 군산시 장재동 380-11,35.97695919,126.7210539,90,90,생활용수,흥남동
금강레저타운,"전라북도 군산시 풍문2길 4, (미원동)",전라북도 군산시 미원동 370번지 ,35.97790511,126.7159493,200,150,생활용수,흥남동
아람목욕탕,"전라북도 군산시 팔마로 106, (서흥남동)",전라북도 군산시 서흥남동 822-9번지 ,35.9734998,126.7127498,150,100,생활용수,흥남동
동초등학교,"전라북도 군산시 번영로 181, (조촌동)",전라북도 군산시 조촌동 757-1번지 ,35.96496375,126.7381204,90,120,생활용수,조촌동
