경로당명,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
가림경로당,전라북도 무주군 무주읍 가림동길 64  ,전라북도 무주군 무주읍 가옥리 216-1,35.967707,127.650576,2021-07-12
가림할머니경로당,전라북도 무주군 무주읍 가림동길 64  ,전라북도 무주군 무주읍 가옥리 216-1,35.967707,127.650576,2021-07-12
공정경로당,전라북도 무주군 무주읍 공정길 7,전라북도 무주군 무주읍 용포리 101-9,35.985669,127.633629,2021-07-12
교동경로당,전라북도 무주군 무주읍 향학로 50  ,전라북도 무주군 무주읍 읍내리 1402,36.008517,127.662767,2021-07-12
교동한빛할머니경로당,전라북도 무주군 무주읍 교동길 21-11,전라북도 무주군 무주읍 읍내리 283-2,36.008983,127.664407,2021-07-12
교동할머니경로당,전라북도 무주군 무주읍 동산길 4,전라북도 무주군 무주읍 읍내리 271-11,36.007913,127.662712,2021-07-12
굴천경로당,전라북도 무주군 무주읍 굴천길 171,전라북도 무주군 무주읍 내도리 904-3,36.048347,127.629434,2021-07-12
남대천휴먼시아경로당,전라북도 무주군 무주읍 장터로 26,전라북도 무주군 무주읍 읍내리 1190-1,36.0065,127.653366,2021-07-12
남천할머니경로당,전라북도 무주군 무주읍 주계로 92-3 ,전라북도 무주군 무주읍 읍내리 977-1,36.006193,127.66041,2021-07-12
내동경로당,전라북도 무주군 무주읍 내동길 17,전라북도 무주군 무주읍 내도리 1130-6,36.045943,127.6492,2021-07-12
늘목경로당,전라북도 무주군 무주읍 추동길 7,전라북도 무주군 무주읍 용포리 520-1,35.987177,127.618951,2021-07-12
다양경로당,전라북도 무주군 무주읍 다양길 16,전라북도 무주군 무주읍 읍내리 310-4,36.008838,127.661128,2021-07-12
다양할머니경로당,전라북도 무주군 무주읍 다양길 16,전라북도 무주군 무주읍 읍내리 310-4,36.008838,127.661128,2021-07-12
당산경로당,전라북도 무주군 무주읍 당산길 20,전라북도 무주군 무주읍 당산리 897,36.00324,127.668612,2021-07-12
당산할머니경로당,전라북도 무주군 무주읍 당산길 29-2,전라북도 무주군 무주읍 당산리 806-1,36.002334,127.669098,2021-07-12
대교경로당,전라북도 무주군 무주읍 단천로31-5,전라북도 무주군 무주읍 읍내리 1080,36.005432,127.656191,2021-07-12
대교할머니경로당,전라북도 무주군 무주읍 단천로31-5,전라북도 무주군 무주읍 읍내리 1080,36.005432,127.656191,2021-07-12
대차경로당,전라북도 무주군 무주읍 서면길 13,전라북도 무주군 무주읍 대차리 777,36.006595,127.622125,2021-07-12
대차할머니경로당,전라북도 무주군 무주읍 서면길 29,전라북도 무주군 무주읍 대차리 822,36.00705,127.623627,2021-07-12
무주할머니경로당,전라북도 무주군 무주읍 적천로 389,전라북도 무주군 무주읍 읍내리 41-1,36.007933,127.669738,2021-07-12
반딧불아파트경로당,전라북도 무주군 무주읍 신교로3길 10,전라북도 무주군 무주읍 읍내리 1427-2,36.009567,127.666677,2021-07-12
방죽안경로당,전라북도 무주군 무주읍 방죽안길 33,전라북도 무주군 무주읍 내도리 477-1,36.055129,127.651503,2021-07-12
사랑의할머니경로당,전라북도 무주군 무주읍 적천로 345,전라북도 무주군 무주읍 읍내리 156-1,36.006914,127.664962,2021-07-12
산의경로당,전라북도 무주군 무주읍 내도로 14,전라북도 무주군 무주읍 내도로 14,36.047393,127.648536,2021-07-12
상록경로당,전라북도 무주군 무주읍 장터로 16(상록아파트),전라북도 무주군 무주읍 읍내리 1216-3,36.00542,127.653593,2021-07-12
상리경로당,전라북도 무주군 무주읍 적천로 345,전라북도 무주군 무주읍 읍내리 156-1,36.006914,127.664962,2021-07-12
상장백경로당,전라북도 무주군 무주읍 상장백길 5-10 ,전라북도 무주군 무주읍 장백리 267-19,36.033032,127.711387,2021-07-12
서면할머니경로당,전라북도 무주군 무주읍 서면길 14-1   ,전라북도 무주군 무주읍 대차리 768,36.006426,127.622354,2021-07-12
안요대경로당,전라북도 무주군 무주읍 안요대길 46,전라북도 무주군 무주읍 용포리 1079-6,35.991254,127.612962,2021-07-12
안유속경로당,전라북도 무주군 무주읍 유속길 153,전라북도 무주군 무주읍 당산리 92-1,35.999064,127.703544,2021-07-12
오산경로당,전라북도 무주군 무주읍 무설로 160,전라북도 무주군 무주읍 오산리 276-1,36.014693,127.689269,2021-07-12
오산한마음할머니경로당,전라북도 무주군 무주읍 무설로 158-1,전라북도 무주군 무주읍 오산리 274-1,36.014542,127.689507,2021-07-12
오산할머니경로당,전라북도 무주군 무주읍 오산1길 27,전라북도 무주군 무주읍 오산리 341-1,36.014377,127.688517,2021-07-12
왕정경로당,전라북도 무주군 무주읍 왕정길 172,전라북도 무주군 무주읍 오산리 506-1,36.029929,127.686939,2021-07-12
요대경로당,전라북도 무주군 무주읍 외요대길 2-6,전라북도 무주군 무주읍 용포리 1000-15,35.989347,127.609571,2021-07-12
운교할머니경로당,전라북도 무주군 무주읍 주계로 92-3,전라북도 무주군 무주읍 읍내리 977-1,36.006193,127.66041,2021-07-12
원용포경로당,전라북도 무주군 무주읍 원용포길 73,전라북도 무주군 무주읍 용포리 319-3,35.993992,127.629935,2021-07-12
유속경로당,전라북도 무주군 무주읍 유속 1길 6 ,전라북도 무주군 무주읍 당산리 산8-13,36.000631,127.68932,2021-07-12
율속경로당,전라북도 무주군 무주읍 무학로 214,전라북도 무주군 무주읍 오산리 774-1,36.028957,127.672251,2021-07-12
잠두경로당,전라북도 무주군 무주읍 잠두길 6,전라북도 무주군 무주읍 용포리 1189-1,35.998517,127.606442,2021-07-12
전도경로당,전라북도 무주군 무주읍 앞섬1길 7,전라북도 무주군 무주읍 내도리 1854-1,36.020113,127.645102,2021-07-12
전도할머니경로당,전라북도 무주군 무주읍 앞섬2길 12-6,전라북도 무주군 무주읍 내도리 1906-3,36.020641,127.646302,2021-07-12
주계경로당,전라북도 무주군 무주읍 단천로 141 ,전라북도 무주군 무주읍 읍내리 116-4,36.00809,127.666597,2021-07-12
주동경로당,전라북도 무주군 무주읍 주동길 86,전라북도 무주군 무주읍 가옥리 766-1,35.976107,127.642285,2021-07-12
중앙경로당,전라북도 무주군 무주읍 주계로 92-3,전라북도 무주군 무주읍 읍내리 977-1,36.006193,127.66041,2021-07-12
차산경로당,전라북도 무주군 무주읍 차산길 9-1 ,전라북도 무주군 무주읍 대차리 52-6,36.005511,127.640721,2021-07-12
추동경로당,전라북도 무주군 무주읍 추동길 20,전라북도 무주군 무주읍 용포리 638-1,35.98604,127.618486,2021-07-12
평촌경로당,전라북도 무주군 무주읍 평촌길 6-10,전라북도 무주군 무주읍 가옥리 369-10,35.979122,127.650384,2021-07-12
평촌할머니경로당,전라북도 무주군 무주읍 평촌길 6-10,전라북도 무주군 무주읍 가옥리 369-10,35.979122,127.650384,2021-07-12
하리경로당,전라북도 무주군 무주읍 단천로2길14-1,전라북도 무주군 무주읍 읍내리 1134,36.006099,127.65514,2021-07-12
하리할머니경로당,전라북도 무주군 무주읍 단천로2길14-1,전라북도 무주군 무주읍 읍내리 1134,36.006099,127.65514,2021-07-12
하장백경로당,전라북도 무주군 무주읍 하장백 1길 8,전라북도 무주군 무주읍 장백리 622,36.027152,127.699077,2021-07-12
하장백할머니경로당,전라북도 무주군 무주읍 하장백 1길 25-5,전라북도 무주군 무주읍 장백리 526-1,36.028438,127.699831,2021-07-12
한마음경로당,전라북도 무주군 무주읍 주계로 92-3,전라북도 무주군 무주읍 읍내리 977-1,36.006193,127.66041,2021-07-12
한수리경로당,전라북도 무주군 무주읍 한수로1길 5-1,전라북도 무주군 무주읍 읍내리 351-3,36.011319,127.662706,2021-07-12
한수할머니경로당,전라북도 무주군 무주읍 한수로1길 5-1,전라북도 무주군 무주읍 읍내리 351-3,36.011319,127.662706,2021-07-12
향산경로당,전라북도 무주군 무주읍 죽향로 20,전라북도 무주군 무주읍 읍내리 777-2,36.009016,127.656616,2021-07-12
향산할머니경로당,전라북도 무주군 무주읍 죽향로 20,전라북도 무주군 무주읍 읍내리 777-2,36.009016,127.656616,2021-07-12
후도경로당,전라북도 무주군 무주읍 무주읍 뒷섬 2길 34-8,전라북도 무주군 무주읍 내도리 1328,36.033359,127.642193,2021-07-12
후도할머니경로당,전라북도 무주군 무주읍 내도로 390,전라북도 무주군 무주읍 내도리 1453-1,36.031538,127.644953,2021-07-12
계부경로당,전라북도 무주군 무풍면 계당길 56,전라북도 무주군 무풍면 금평리 1253-1,35.948191,127.886715,2021-07-12
고도경로당,전라북도 무주군 무풍면 고도2길 15,전라북도 무주군 무풍면 현내리 665-3,35.970483,127.847069,2021-07-12
고도할머니경로당,전라북도 무주군 무풍면 고도2길 15,전라북도 무주군 무풍면 현내리 665-3,35.970483,127.847069,2021-07-12
금척경로당,전라북도 무주군 무풍면 금척1길 38,전라북도 무주군 무풍면 금평리 1671-1,35.962456,127.877569,2021-07-12
금척할머니경로당,전라북도 무주군 무풍면 금척1길 38,전라북도 무주군 무풍면 금평리 1671-1,35.962456,127.877569,2021-07-12
덕동경로당,전라북도 무주군 무풍면 덕동길 1,전라북도 무주군 무풍면 덕지리 1400,35.914846,127.830016,2021-07-12
덕평경로당,전라북도 무주군 무풍면 덕평길 29-14,전라북도 무주군 무풍면 금평리 1362-4,35.952059,127.882347,2021-07-12
도마경로당,전라북도 무주군 무풍면 도마1길 28,전라북도 무주군 무풍면 덕지리 265,35.912078,127.863475,2021-07-12
두평경로당,전라북도 무주군 무풍면 두평길 12-4,전라북도 무주군 무풍면 현내리 893-1,35.978843,127.847152,2021-07-12
마덕경로당,전라북도 무주군 무풍면 마곡길 41,전라북도 무주군 무풍면 금평리 950-1,35.956322,127.885355,2021-07-12
묘암경로당,전라북도 무주군 무풍면 대덕산로 711-5,전라북도 무주군 무풍면 철목리 184-1,35.952439,127.841992,2021-07-12
무풍경로당,전라북도 무주군 무풍면 상하길 11-5,전라북도 무주군 무풍면 현내리 242,35.970316,127.849588,2021-07-12
무풍할머니경로당,전라북도 무주군 무풍면 상하길 11-5,전라북도 무주군 무풍면 현내리 242,35.970316,127.849588,2021-07-12
문평경로당,전라북도 무주군 무풍면 문평길 10,전라북도 무주군 무풍면 현내리 1077-1,35.973157,127.84324,2021-07-12
부평경로당,전라북도 무주군 무풍면 부평길 17-1,전라북도 무주군 무풍면 금평리 126-4,35.944989,127.898617,2021-07-12
부흥경로당,전라북도 무주군 무풍면 부흥길 13,전라북도 무주군 무풍면 덕지리 417-6,35.904924,127.858252,2021-07-12
북리경로당,전라북도 무주군 무풍면 북리길 34-2,전라북도 무주군 무풍면 현내리 171-5,35.971482,127.849757,2021-07-12
북리할머니경로당,전라북도 무주군 무풍면 북리길 34-2,전라북도 무주군 무풍면 현내리 171-5,35.971482,127.849757,2021-07-12
북수경로당,전라북도 무주군 무풍면 대덕산로124,전라북도 무주군 무풍면 덕지리 622-8,35.913476,127.850173,2021-07-12
사동경로당,전라북도 무주군 무풍면 증산로 200 ,전라북도 무주군 무풍면 증산리 132-4,35.943255,127.854789,2021-07-12
삼거경로당,전라북도 무주군 무풍면 상오정길 9,전라북도 무주군 무풍면 삼거리 78-1,35.890415,127.820541,2021-07-12
서동경로당,전라북도 무주군 무풍면 서동길 33-2,전라북도 무주군 무풍면 지성리 868,35.956677,127.853199,2021-07-12
석항경로당,전라북도 무주군 무풍면 증산로 77 ,전라북도 무주군 무풍면 증산리 582-1,35.950957,127.849974,2021-07-12
속동경로당,전라북도 무주군 무풍면 속동길 18,전라북도 무주군 무풍면 은산리 582-1,35.941539,127.83576,2021-07-12
신기경로당,전라북도 무주군 무풍면 철목길 122-2,전라북도 무주군 무풍면 철목리 846-1,35.958436,127.833395,2021-07-12
실미경로당,전라북도 무주군 무풍면 실미길 66,전라북도 무주군 무풍면 증산리 923-2,35.942693,127.844362,2021-07-12
안방경로당,전라북도 무주군 무풍면 오두재로 666,전라북도 무주군 무풍면 덕지리 1096-2,35.920921,127.833524,2021-07-12
오동경로당,전라북도 무주군 무풍면 율오길 164-3,전라북도 무주군 무풍면 지성리 114-4,35.946631,127.869505,2021-07-12
오방경로당,전라북도 무주군 무풍면 오무실로 124 ,전라북도 무주군 무풍면 은산리 345,35.926175,127.842607,2021-07-12
원촌경로당,전라북도 무주군 무풍면 원촌길 2,전라북도 무주군 무풍면 현내리 1124-4,35.970831,127.839472,2021-07-12
율평경로당,전라북도 무주군 무풍면 율오길 13-6,전라북도 무주군 무풍면 지성리 192-15 ,35.955976,127.870118,2021-07-12
은고경로당,전라북도 무주군 무풍면 은고길 32,전라북도 무주군 무풍면 은산리 767-1,35.933292,127.83218,2021-07-12
지동경로당,전라북도 무주군 무풍면 지동길 37,전라북도 무주군 무풍면 현내리 796-4,35.97496,127.847519,2021-07-12
지산경로당,전라북도 무주군 무풍면 지산길 61,전라북도 무주군 무풍면 지성리 518-1,35.949609,127.858138,2021-07-12
지성경로당,전라북도 무주군 무풍면 부등1길 14-4 ,전라북도 무주군 무풍면 지성리 586-1,35.953241,127.857294,2021-07-12
철목경로당,전라북도 무주군 무풍면 철목1길 17 ,전라북도 무주군 무풍면 철목리 397-1,35.960759,127.838586,2021-07-12
철목할머니경로당,전라북도 무주군 무풍면 철목1길 17 ,전라북도 무주군 무풍면 철목리 397-1,35.960759,127.838586,2021-07-12
하덕경로당,전라북도 무주군 무풍면 갈마동길 50,전라북도 무주군 무풍면 덕지리 944,35.914668,127.841492,2021-07-12
한치경로당,전라북도 무주군 무풍면 한재길 39,전라북도 무주군 무풍면 은산리 1214-1,35.928459,127.830415,2021-07-12
관서경로당,전라북도 무주군 설천면 관동길 16,전라북도 무주군 설천면 심곡리 1061,35.907944,127.753913,2021-07-12
구산경로당,전라북도 무주군 설천면 신선길 52,전라북도 무주군 설천면 두길리 631-5,35.973416,127.784889,2021-07-12
구천경로당,전라북도 무주군 설천면 구천동1로 14,전라북도 무주군 설천면 삼공리 395-10,35.874359,127.774819,2021-07-12
기곡경로당,전라북도 무주군 설천면 기곡1길 4,전라북도 무주군 설천면 기곡리 315-6,36.016105,127.71805,2021-07-12
기곡할머니경로당,전라북도 무주군 설천면 기곡1길 4 ,전라북도 무주군 설천면 기곡리 315-6,36.016105,127.71805,2021-07-12
길산경로당,전라북도 무주군 설천면 지전길 11,전라북도 무주군 설천면 길산리 48-7,36.027082,127.745382,2021-07-12
나림경로당,전라북도 무주군 설천면 삼도봉로 174,전라북도 무주군 설천면 소천리 131-6,36.015465,127.802269,2021-07-12
내북경로당,전라북도 무주군 설천면 내북길 90 ,전라북도 무주군 설천면 대불리 557,36.011326,127.830808,2021-07-12
대불경로당,전라북도 무주군 설천면 외북길 21,전라북도 무주군 설천면 대불리 684-3,36.007103,127.830451,2021-07-12
대평경로당,전라북도 무주군 설천면 대평길 2,전라북도 무주군 설천면 심곡리 389-1,35.922585,127.75795,2021-07-12
덕유경로당,전라북도 무주군 설천면 구천동1로 162,전라북도 무주군 설천면 심곡리 1411-22,35.885357,127.748688,2021-07-12
무항경로당,전라북도 무주군 설천면 청길강변로 362,전라북도 무주군 설천면 청량리 448,36.014986,127.757541,2021-07-12
문암경로당,전라북도 무주군 설천면 문암길 82,전라북도 무주군 설천면 기곡리 861-1,36.007858,127.724684,2021-07-12
미례경로당,전라북도 무주군 설천면 하미길 20,전라북도 무주군 설천면 미천리 651-3,36.001861,127.839783,2021-07-12
미천경로당,전라북도 무주군 설천면 중미길 31,전라북도 무주군 설천면 미천리 460,36.002241,127.846724,2021-07-12
배방경로당,전라북도 무주군 설천면 내배방길 28 ,전라북도 무주군 설천면 심곡리 735-1,35.885357,127.748688,2021-07-12
벌한경로당,전라북도 무주군 설천면 신선길 425-1 ,전라북도 무주군 설천면 두길리 60,35.965813,127.784824,2021-07-12
보안경로당,전라북도 무주군 설천면 보안길 32,전라북도 무주군 설천면 삼공리 762-6,35.909182,127.774114,2021-07-12
불대경로당,전라북도 무주군 설천면 불대길 162 ,전라북도 무주군 설천면 대불리 1046-1,36.024894,127.827986,2021-07-12
비례경로당,전라북도 무주군 설천면 비례길 32-13 ,전라북도 무주군 설천면 청량리 525-10,36.019105,127.756083,2021-07-12
삼공할머니경로당,전라북도 무주군 설천면 구천동1로 14 ,전라북도 무주군 설천면 삼공리 395-10,35.874359,127.774819,2021-07-12
상평지경로당,전라북도 무주군 설천면 상평지길 23,전라북도 무주군 설천면 소천리 888-6,36.009304,127.790202,2021-07-12
신계경로당,전라북도 무주군 설천면 신계길 3,전라북도 무주군 설천면 길산리 301-1,36.023221,127.742935,2021-07-12
신길경로당,전라북도 무주군 설천면 길본지길 9,전라북도 무주군 설천면 길산리 433-4,36.029813,127.732629,2021-07-12
신두경로당,전라북도 무주군 설천면 구천동로 2337-2,전라북도 무주군 설천면 두길리 1070-6,35.965813,127.784824,2021-07-12
신재궁경로당,전라북도 무주군 설천면 무설로 1714-14 ,전라북도 무주군 설천면 소천리 697-12,35.999069,127.792038,2021-07-12
신촌경로당,전라북도 무주군 설천면 새말길 23 ,전라북도 무주군 설천면 소천리 848-6,36.004245,127.792884,2021-07-12
심곡경로당,전라북도 무주군 설천면 원심곡길 33,전라북도 무주군 설천면 심곡리 88-1,35.885357,127.748688,2021-07-12
양지경로당,전라북도 무주군 설천면 양지길 45,전라북도 무주군 설천면 소천리 1165-4,36.005764,127.787752,2021-07-12
양지담경로당,전라북도 무주군 설천면 두리길 산 36,전라북도 무주군 설천면 두리길 산 36,35.98394455,127.7837411,2021-07-12
온평경로당,전라북도 무주군 설천면 무설로 1418,전라북도 무주군 설천면 청량리 155-2,36.010791,127.770628,2021-07-12
와석경로당,전라북도 무주군 설천면 와석길 25,전라북도 무주군 설천면 두길리 1876,35.965813,127.784824,2021-07-12
외양지경로당,전라북도 무주군 설천면 양지길 9,전라북도 무주군 설천면 소천리 1043-23,36.008567,127.787208,2021-07-12
외양할머니경로당,전라북도 무주군 설천면 양지길 9,전라북도 무주군 설천면 소천리 1043-23,36.008567,127.787208,2021-07-12
원청경로당,전라북도 무주군 설천면 원청길 73,전라북도 무주군 설천면 청량리 1037-1,36.01097,127.75162,2021-07-12
월현경로당,전라북도 무주군 설천면 월현길 18 ,전라북도 무주군 설천면 두길리 1692-2,35.965813,127.784824,2021-07-12
이남경로당,전라북도 무주군 설천면 이남3길 5,전라북도 무주군 설천면 소천리 451-1,35.996494,127.801226,2021-07-12
장덕경로당,전라북도 무주군 설천면 수한길 2-3 ,전라북도 무주군 설천면 장덕리 167-3,35.990389,127.81732,2021-07-12
장평경로당,전라북도 무주군 설천면 장평길 12,전라북도 무주군 설천면 장덕리 434,35.983433,127.820167,2021-07-12
재궁경로당,전라북도 무주군 설천면 재궁길 26 ,전라북도 무주군 설천면 소천리 658-3,35.998896,127.790304,2021-07-12
진평경로당,전라북도 무주군 설천면 진평길 45-5,전라북도 무주군 설천면 청량리 363,36.009254,127.764803,2021-07-12
평지경로당,전라북도 무주군 설천면 삼도봉로 33-1,전라북도 무주군 설천면 소천리 914-97,36.01103,127.790294,2021-07-12
평지할머니경로당,전라북도 무주군 설천면 삼도봉로 33-1,전라북도 무주군 설천면 소천리 914-97,36.01103,127.790294,2021-07-12
하두경로당,전라북도 무주군 설천면 하두길 47,전라북도 무주군 설천면 두길리 1153-1,35.965813,127.784824,2021-07-12
하엽경로당,전라북도 무주군 설천면 하엽길 41,전라북도 무주군 설천면 청량리 946-1,36.013521,127.748893,2021-07-12
개안경로당,전라북도 무주군 적상면 옥소동길 45,전라북도 무주군 적상면 포내리 293-2,35.967259,127.715881,2021-07-12
거문동경로당,전라북도 무주군 적상면 거문동길 63,전라북도 무주군 적상면 방이리 893,35.954431,127.603145,2021-07-12
고방경로당,전라북도 무주군 적상면 삼방로 234-3,전라북도 무주군 적상면 방이리 1245,35.938593,127.609495,2021-07-12
광포경로당,전라북도 무주군 적상면 광포길 109-3,전라북도 무주군 적상면 삼가리 2174,35.91744,127.636729,2021-07-12
괴목경로당,전라북도 무주군 적상면 원괴목길 17,전라북도 무주군 적상면 괴목리 342-1,35.935782,127.716825,2021-07-12
길왕경로당,전라북도 무주군 적상면 길왕길 5-1,전라북도 무주군 적상면 사천리 731-1,35.958114,127.663275,2021-07-12
길왕할머니경로당,전라북도 무주군 적상면 길왕길 10-1,전라북도 무주군 적상면 사천리 691-3,35.958119,127.664007,2021-07-12
내동경로당,전라북도 무주군 적상면 방이내동길 86,전라북도 무주군 적상면 방이리 159-3,35.963533,127.628111,2021-07-12
대촌경로당,전라북도 무주군 적상면 대촌길 17-7,전라북도 무주군 적상면 사산리 583-1,35.917681,127.677265,2021-07-12
마산경로당,전라북도 무주군 적상면 마산길 17-12,전라북도 무주군 적상면 사산리 438-1,35.921315,127.678486,2021-07-12
마산안골경로당,전라북도 무주군 적상면 마산내동길 96 ,전라북도 무주군 적상면 사산리 249-2,35.915185,127.684829,2021-07-12
마산할머니경로당,전라북도 무주군 적상면 마산길 17-12,전라북도 무주군 적상면 사산리 438-1,35.921315,127.678486,2021-07-12
박대경로당,전라북도 무주군 적상면 박대길 10-1,전라북도 무주군 적상면 삼유리 892-2,35.917513,127.609586,2021-07-12
북창경로당,전라북도 무주군 적상면 내창길 17-5,전라북도 무주군 적상면 북창리 833,35.974781,127.690932,2021-07-12
사내경로당,전라북도 무주군 적상면 사내로 113,전라북도 무주군 적상면 사산리 984-6,35.937745,127.67096,2021-07-12
사천경로당,전라북도 무주군 적상면 구억로 53-8,전라북도 무주군 적상면 사천리 362-2,35.944482,127.657291,2021-07-12
상가경로당,전라북도 무주군 적상면 상가길 2,전라북도 무주군 적상면 삼가리 688-5,35.906313,127.658454,2021-07-12
상유경로당,전라북도 무주군 적상면 삼유길 328,전라북도 무주군 적상면 삼유리 1578,35.893496,127.608111,2021-07-12
상조경로당,전라북도 무주군 적상면 괴목로 148,전라북도 무주군 적상면 괴목리 726,35.913035,127.716894,2021-07-12
성내경로당,전라북도 무주군 적상면 성내길 13,전라북도 무주군 적상면 사천리 342,35.94397,127.658683,2021-07-12
사천성내할머니경로당,전라북도 무주군 적상면 성내길 13,전라북도 무주군 적상면 사천리 342,35.94397,127.658683,2021-07-12
성도경로당,전라북도 무주군 적상면 성도길 124 ,전라북도 무주군 적상면 삼유리 182-1,35.903911,127.617393,2021-07-12
성유경로당,전라북도 무주군 적상면 성도길 23 ,전라북도 무주군 적상면 삼유리 987-1,35.911337,127.613393,2021-07-12
신대경로당,전라북도 무주군 적상면 신대길 14-3,전라북도 무주군 적상면 사천리 499-2,35.949134,127.662158,2021-07-12
신촌경로당,전라북도 무주군 적상면 삼유길 145,전라북도 무주군 적상면 삼유리 1059-9,35.908675,127.612438,2021-07-12
여원경로당,전라북도 무주군 적상면 여원길 1,전라북도 무주군 적상면 삼가리 1606-2,35.924731,127.639926,2021-07-12
용담경로당,전라북도 무주군 적상면 여용로 248,전라북도 무주군 적상면 사산리 1203-4,35.933416,127.656741,2021-07-12
이동경로당,전라북도 무주군 적상면 삼방로 498,전라북도 무주군 적상면 방이리 738-4,35.960326,127.609877,2021-07-12
중가경로당,전라북도 무주군 적상면 중가길 22,전라북도 무주군 적상면 삼가리 145-1,35.912026,127.663416,2021-07-12
