읍면동,단지명,설치위치,클린하우스 형태,도로명주소,지번주소,위도,경도,데이터기준일자
대정읍,매일시장 뒤,대정읍클린하우스 - 02,비가림시설,-,제주특별자치도 서귀포시 대정읍 하모리 814-2,33.2214203,126.2536304,2020-06-11
대정읍,송악산대합실,대정읍클린하우스 - 03,비가림시설,-,제주특별자치도 서귀포시 대정읍 상모리 132-1,33.2080393,126.2883118,2020-06-11
대정읍,운진항 앞,대정읍클린하우스 - 04,비가림시설,-,제주특별자치도 서귀포시 대정읍 하모리 634-11,33.2115487,126.2572048,2020-06-11
대정읍,안나식당 동쪽,대정읍클린하우스 - 05,비가림시설,-,제주특별자치도 서귀포시 대정읍 하모리 977-2,33.2233791,126.2491164,2020-06-11
대정읍,상모1리사무소 북쪽,대정읍클린하우스 - 06,비가림시설,-,제주특별자치도 서귀포시 대정읍 상모리 2650-3,33.2265457,126.2668667,2020-06-11
대정읍,마을회관 북쪽삼거리,대정읍클린하우스 - 07,비가림시설,-,제주특별자치도 서귀포시 대정읍 보성리 1577-1,33.2525967,126.2703351,2020-06-11
대정읍,신장동,대정읍클린하우스 - 08,비가림시설,제주특별자치도 서귀포시 대정읍 추사로 285,제주특별자치도 서귀포시 대정읍 신평리 102,33.2641661,126.260113,2020-06-11
대정읍,인향동 노인회관앞,대정읍클린하우스 - 09,비가림시설,제주특별자치도 서귀포시 대정읍 무릉인향로14번길 21-2,제주특별자치도 서귀포시 대정읍 무릉리 132-1,33.27839219,126.2460946,2020-06-11
대정읍,죄기동놀이터,대정읍클린하우스 - 10,비가림시설,-,제주특별자치도 서귀포시 대정읍 무릉리 568-7,33.273852,126.233692,2020-06-11
대정읍,평지동 마을회관,대정읍클린하우스 - 11,비가림시설,제주특별자치도 서귀포시 대정읍 무영로228번길 19,제주특별자치도 서귀포시 대정읍 무릉리 973-1,33.2812017,126.2238461,2020-06-11
대정읍,동일2리사무소,대정읍클린하우스 - 12,비가림시설,-,제주특별자치도 서귀포시 대정읍 동일리 274,33.257789,126.237018,2020-06-11
대정읍,어민회관,대정읍클린하우스 - 13,비가림시설,-,제주특별자치도 서귀포시 대정읍 일과리 1509-2,33.2467068,126.2229603,2020-06-11
대정읍,어민회관 서쪽,대정읍클린하우스 - 14,비가림시설,제주특별자치도 서귀포시 대정읍 서림로23번길 2,제주특별자치도 서귀포시 대정읍 일과리 1538-6,33.24778532,126.2239613,2020-06-11
대정읍,영락리사무소 뒤,대정읍클린하우스 - 15,비가림시설,제주특별자치도 서귀포시 대정읍 영락중동로 11,제주특별자치도 서귀포시 대정읍 영락리 1282-2,33.25855534,126.2109754,2020-06-11
대정읍,신도1리사무소,대정읍클린하우스 - 16,비가림시설,제주특별자치도 서귀포시 대정읍 도원남로 171-7,제주특별자치도 서귀포시 대정읍 신도리 1408-1,33.27815516,126.191727,2020-06-11
대정읍,바자동삼거리,대정읍클린하우스 - 17,비가림시설,-,제주특별자치도 서귀포시 대정읍 신도리 2072-13,33.2843304,126.1824748,2020-06-11
대정읍,신도3리사무소,대정읍클린하우스 - 18,비가림시설,제주특별자치도 서귀포시 대정읍 비자낭로 8,제주특별자치도 서귀포시 대정읍 신도리 2067-24,33.28669847,126.1845117,2020-06-11
대정읍,신도3리사무소 북쪽,대정읍클린하우스 - 19,비가림시설,-,제주특별자치도 서귀포시 대정읍 신도리 1920-3,33.2875297,126.184068,2020-06-11
대정읍,해녀탈의장 옆,대정읍클린하우스 - 20,비가림시설,-,제주특별자치도 서귀포시 대정읍 신도리 3076-2,33.2762978,126.1689502,2020-06-11
대정읍,방앗동네,대정읍클린하우스 - 21,비가림시설,-,제주특별자치도 서귀포시 대정읍 신도리 2633-4,33.2800877,126.1729316,2020-06-11
대정읍,어촌계창고,대정읍클린하우스 - 22,비가림시설,제주특별자치도 서귀포시 대정읍 도원로26번길 1,제주특별자치도 서귀포시 대정읍 신도리 3094-1,33.27680396,126.1732646,2020-06-11
대정읍,무릉2리사무소 맞은편,대정읍클린하우스 - 23,비가림시설,-,제주특별자치도 서귀포시 대정읍 무릉리 630-2,33.274715,126.234713,2020-06-11
대정읍,독고동,대정읍클린하우스 - 24,비가림시설,-,제주특별자치도 서귀포시 대정읍 영락리 279,33.262808,126.219175,2020-06-11
대정읍,하동삼거리,대정읍클린하우스 - 25,비가림시설,-,제주특별자치도 서귀포시 대정읍 영락리 1747-4,33.25301,126.203528,2020-06-11
대정읍,대합실 북쪽,대정읍클린하우스 - 26,비가림시설,-,제주특별자치도 서귀포시 대정읍 영락리 1242-2,33.261089,126.208721,2020-06-11
대정읍,상동삼거리,대정읍클린하우스 - 27,비가림시설,-,제주특별자치도 서귀포시 대정읍 신평리 603-1,33.2680094,126.2608707,2020-06-11
대정읍,보건진료소 앞,대정읍클린하우스 - 28,비가림시설,-,제주특별자치도 서귀포시 대정읍 신평리 370-4,33.2657306,126.2574763,2020-06-11
대정읍,서림슈퍼 맞은편,대정읍클린하우스 - 29,비가림시설,-,제주특별자치도 서귀포시 대정읍 일과리 1467-1,33.2428272,126.2257253,2020-06-11
대정읍,안성리사무소,대정읍클린하우스 - 30,비가림시설,-,제주특별자치도 서귀포시 대정읍 안성리 1478-2,33.2498172,126.2797699,2020-06-11
