용천수 명칭,위치,경도,위도,요약,세부내용
고치땅물,표선면 하천리 천미천 하류(바닷가),126°50′58.14″,33°20′12.75″,배고픈 다리 및 암반에서 솟아나는 물,고치땅물은 천미천의 끝자락과 바닷물의 경계 지점에 설치된 수중보의 역할을 하는 배고픈 다리 밑에서 자연적으로 솟아오르는 용천수다. 천미천 하류에는 고씨 할머니를 당신으로 모시는 고칫당이 있는데 그 부근에서 솟아나는 용천수를 고치땅물이라 부르고 있다. 올레길 3코스를 걷다보면 천미천의 배고픈 다리를 지날 때 낚시하는 사람들이 많이 보인다. 배고픈 다리를 지날 때 바다 쪽 암반 사이를 유심히 살펴보면 바닥에서 용출되는 모습을 볼 수 있으나 하천개수공사 등으로 산물이 많이 축소되었다. 만조 시에는 바닷물이 덮이고 간조 때는 물이 바로 바다로 빠져 나가버리는 특성이다. 때문에 사용하는데 어려움이 많아서 별도의 보호시설이 없이 자연 그대로의 모습이다. 예전에는 목욕물이나 우마용 먹는 물로 사용했었다.
큰산물,표선면 하천리 포구 옆 바닷가,126°50′52.06″,33°20′09.85″,,하천리 포구 서쪽 옆으로 용천수가 솟아나는 3곳 모두를 합쳐서 큰산물이라 부르며 하천리에 있는 용천수 중 용출량이 가장 많은 곳이다. 큰산물은 3통이 있는데 해녀 탈의장 바로 아래 물통은 식수로 이용되기도 했고 아래 바닷가 쪽 산물통은 해녀들과 지역주민들이 여름철 목욕하는데 이용했다. 큰 물통은 남성들이 작은 물통은 여성들이 이용해 왔다. 백중 때는 이웃마을 주민들까지 모여들어 두 물통이 사람으로 가득 찼다고 한다. 자연석으로 경계시설을 조성하여 지금도 목욕을 할 수 있는 곳이다.
당케산물,표선면 포선리 바닷가 포구 안,126°50′37.37″,33°19′34.73″,,이 마을에서는 설문대할망을 세명주할망 혹은 설맹디할망이라 한다. 이 곳은 설문대할망이 토목공사로 조성한 곳이라는 구전이 전해지고 있어 당케 세명주할망당이라 불리는 당이 있다. 바로 근처에 물이 있어 당케산물이라고 전해지고 있는데 당케라는 말은 당이 있는 바닷가(개)란 의미로 당케 또는 당캐라고 한다. 당케산물은 당케포구(일명 당포)라 했던 마을 사람들은 식수와 기타 생활 용도로 사용했으며 제수로도 사용했다. 경계돌담을 쌓아 남녀가 구분하여 목욕탕으로 이용하기도 했었다. 몇 년 전에 물을 두 칸으로 나눈 사각 시멘트구조물로 보호시설을 만들어 보전되고 있었다. 물이 솟는 곳 갯담 안쪽 모퉁이에 두 칸으로 보호시설을 만들고 바다 쪽은 남탕으로 바다 안쪽은 여탕으로 구분하였지만 파도에 경계돌담이 무너져서 지금은 시멘트 흔적만 남아 있고 아무런 관리도 이루어지고 있지 않다. 포구 안 구석에서 솟아나는 이 용천수는 밀물 때는 역시 바닷물에 잠겨 위치를 확인 할 수 없고 썰물 때만 모습을 드러낸다.
거슨새미,표선면 토산리 1307-1,126°45′55.52″,33°19′16.86″,한라산을 향해 거슬러 흐르는 물,이 마을에 있는 거슨새미와 노단새미는 호종단이 물혈을 끊으려 했던 단혈전설이 전해지는 마을의 정신적인 물이다. 거슨새미는 한라산을 향해 거슬러 흐른다고 해서 붙여진 이름이며 토산봉이라는 오름의 서쪽 낮은 오름에서 용출하여 바다로 흐르지 않고 한라산을 방면으로 흐르는 역천수로 유명하다. 예전에는 물의 위치에 따라 상중하로 구분하여 상탕(거슨새미1)은 마을제 등에 쓰는 귀한 물로 이용하고 중탕은 식수(거슨새미2) 하탕(상탕과 중탕에서 흘러 내려온 물을 받아놓은 못)은 우마용과 빨래 등으로 사용하였다. 예전에는 이 물을 이용해서 토산에서 유일하게 논농사를 지었다고 한다. 2009년 집수시설과 경계시설을 갖추도록 정비하여 유원지로 복원하였다. 그리고 거슨새미라고 쓴 표석을 세우고 상수도시설이 되기 전에는 인근 마을(가시·세화·신흥리 등)의 주요한 생활용수로 사용되었으며 조상들이 물을 지켰던 지혜와 행기무덤과 함께 거슨샘 물신인 영천수신을 기리기 위해 복원하였다고 새겨 놓았다.
노단새미,표선면 토산리 1249,126°45′51.72″,33°19′05.04″,축복받은 마을로 만들어준 산기슭에서 흘러내리는 물,노단이란 오른·바른·옳은을 뜻하는 오른쪽을 일컫는 제주어다. 노단새미는 토산봉에서 거슨새미와는 반대 방향으로 바닷가 쪽 정방향으로 흐른다고 해서 노단새미이라 부르고 있다. 용천수는 대부분 바닷가에서 용출되기 때문에 농사 짖기가 바닷가에 비해 편리한 중산간에서 용천수가 솟으면 그 마을은 축복받은 마을이라 할 수 있다. 그래서 토산리 주민들은 이 물을 신성시 했고 산기슭에서 흘러내리는 물이라 함부로 훼손하지 못하도록 엄히 관리했다. 생명수를 귀중히 여기는 제주민들의 심성이 용천수 혈을 끊으려는 호종단의 행위를 교묘하게 피해가는 전설도 만들어 냈다. 예전에 제사에 사용하는 제기들은 놋그릇을 이용했는데 놋사발 같은 홈에서 물이 솟아난다는 표현으로 행기소 물이라고도 부른다. 지금은 영천사에서는 용천수를 끌여들여 연못을 만들고 서귀포시에서는 탐방객들이 쉴 수 있도록 정자와 족욕탕 등을 조성하여 소공원으로 만들었다. 다행스러운 것은 다른 마을의 용천수처럼 형체도 알아 볼 수 없게 개조한 것이 아니라 처음 그대로의 노단새미를 보전한 것이다.
산열이통물,표선면 토산리 바닷가,126°47′00.37″,33°18′21.66″,물이 차고 좋아 땀띠를 없애고 목욕을 하며 더운 열을 식히던 물,토산2리 바닷가에 위치하며 용암빌레(너럭바위)의 언덕 밑에서 특이하게 용천수가 솟구치고 있다. 궤에서 솟기 때문에 통물이라 하고 있으며 토산리 바닷가에 궤처럼 생긴 동굴 같은 바윗집에서 용출된다. 동굴의 크기는 너비 1.8m와 높이 0.6m 정도다. 산열이통물(산아리통물)은 다른 용천수보다 마을에서 가장 가까이에 있고 용출량이 많아 식수 등 생활용수로 주로 사용해 왔다. 백중날에 이 물로 물맞이하면 무병장수한다고 전해지며 지금도 여름철에는 주민뿐만 아니라 용천수를 잘 아는 사람들이 즐겨 찾는 곳이다. 예로부터 명수의 조건은 반드시 힘찬 용의 기운을 받아야 한다. 남토리(남쪽에 있는 토산리란 의미) 바닷가에도 바위 궤(동굴의 제주어)에 용트림 하듯 숨겨진 귀한 용천구가 있다. 토산2리 바닷가인 토산개에 있는 물인 산열이통물이다. 근처 봉용코지(곶)는 지형지세가 용트림하기 위해 용이 엎드려 있는 형국을 하고 있다. 이곳에서 나오는 용의 기운을 받고 용출하고 있어 충분히 명수라 할 만 하다.
너븐개,표선면 토산리 2리 바닷가,126°47′06.52″,33°18′21.70″,빨래를 주로 했던 세답통,토산리 앞바다는 만이 넓어서 너븐개라 부른다. 산열이통물에서 동쪽으로 약 200여 미터 지점의 너븐개에서 솟아나는 용천수를 그냥 너븐개라 부르고 있다. 주민들은 인근에 있는 산열이통물을 많이 이용하였고 이 너븐개에서는 주로 빨래를 했었다. 커다란 바위로 경계시설을 만들어 파도에도 훼손되지는 않았지만 지금은 사용하지 않는다.
엉물,제주시 조천읍 신촌리,126 °36′13.42″,33°32′06.21″,"엉 아래로 흐르는 물, 식수보다는 한 여름 피서지였던 용천수","신촌과 삼양의 경계지점인 ‘옷벗은여(돌 위에 하얀 부분이 조금 있어서 그렇게 불렀다고 함)’ 옆에 있는 용천수로 바다로 향하여 입을 벌린 ‘엉(동굴처럼 들어간 바위)’ 아래로 용천수가 솟아올라 ‘엉물’이란 이름을 얻은 것으로 보인다. 지금 엉물은 사람들에게 잊혀진 용천수지만 80세 전후 주민들은 그곳이 여름철 더위를 식히는 아주 유명한 장소로 기억한다. 용출 지점이 해안가 절벽바위 밑이고 인가와 너무 떨어져 있어서 쉽게 물을 뜨러 오지는 못했다. 그러나 신촌은 물론 중산간 마을 사람들이 더운 한여름에 개역(미숫가루)과 음식과 솥을 준비해 와서 엉물 옆에서 며칠을 머물면서 물을 맞았다고 한다. 일종의 피서였던 셈인데 이렇듯 엉물은 식수보다는 피서지로 유명하였다. 썰물 때라야 단물이 나오고 밀물이 되면 짠물이 그 안으로 들어 왔다고 한다. 사시사철 시원한 물이 솟았던 곳이라 했는데 조사를 나갈 때는 그런 물은 볼 수가 없었다. 제보자는 용출수가 말라 버린 건 아닌지 의심이 된다고 했다. 신촌 인가와 멀리 떨어진 곳이고 피서지로써의 가치도 없게 되자 찾는 사람이 없고, 나이 든 해녀들의 기억 속에만 남아 있다. 그러니 자연적으로 관리할 필요도 없는 곳이 되었다"
안개물,조천읍 신촌리 2284-4,126°36′59″,33°32′14″,"수량이 풍부하고 물맛이 좋은 여성 전용 용천수, 여성들이 자발적으로 조성한 물통","주로 펄낭동네인 서하동 주민들이 이 물통을 이용하였는데, ‘안갯물’ 맞은편에 있는 ‘수물’이 남탕이 되면서 ‘안갯물’은 자연스럽게 여성 전용인 여탕이 되었다. 이 지역 주민들은 이 물이 수량이 매우 풍부하고 물맛도 좋았다고 전한다. 3칸으로 나뉘어 위쪽은 식수로 사용하였으며 나머지 칸에서는 주로 채소를 씻고 그 다음 칸에서는 빨래나 목욕을 하였다. ‘큰물’보다는 수량이 많지 않았고, 물맛도 깔끔하지는 않았다. 1990년대 수물, 안갯물 앞쪽을 매립하여 선착장과 길을 만들면서 면적이 작아졌다. 담장 안쪽으로는 빙 돌아가면서 잡석을 쌓아 만든 물팡(2단 계단)이 있다. 수변공간이 넓고, 들어가는 입구를 ㄱ자로 휘게 만들어서 안을 쉽게 들여다 볼 수 없도록 했다. 과거 여자들이 사용하던 ‘수물’을 남자가 이용하게 하고, 남자들의 물통이었던 ‘안갯물’이 여자전용 물통이 되면서 여자들이 자발적으로 안갯물의 개보수를 계획하였다고 한다. 1960년대에 안갯물통을 개보수 했다고 기억하는데, 자금을 마련하기 위해 집집마다 보리쌀이나 좁쌀(반 되 또는 한 되)을 받으러 다녔다고 했다(당시는 공사인부에게 일한 값을 곡식으로 지급하던 시절이었다). 마을의 ‘돌챙이(돌 담는 기술자)’를 불러와 물통의 울담을 쌓게 하고, 시멘트도 발랐다. 지금도 수량이 풍부하며, 예전부터 이 물통을 이용하는 마을 사람들이 자발적으로 가끔 쓰레기를 치우고 물통 청소를 하고 있다. 경계담장을 높여서 밖에서 안을 볼 수 없지만 3칸의 전형적인 물통 구조를 간직하고 있다. 펄낭동네 주민들에게 기억의 공간이고 마을역사를 대변하는 공간이기에 잘 보존해야 한다고 말하고 있다. 인가 골목 구석에 위치해 있어서인지 바닷가에 위치해 있는 ‘큰물’과 ‘조바물(조반물)’에 비해 잘 알려져 있지 않고, 조사도 활발하지 않은 것 같다. 물통 뒤쪽 바닷가 쪽으로 ‘갯담(원담)’이 있어서 ‘갯담’을 설명한 표지석을 설치해 놓았다. ‘갯담’은 예로부터 물통과 같이 마을의 공동재산이며 조차(潮差)를 이용하여 담 안으로 들어온 멜(멸치) 등 고기를 잡는 어로 시설이다. 이 지역은 ‘수물’, ‘안갯물’, ‘갯담’이 함께 있어 제주의 해양문화를 한 번에 볼 수 있는 장소이기도 하다."
수물,조천읍 신촌리 2307-3,126°36′57″,33°32′13″,"남성전용 물통 수물(숫물), 수물 물맛은 큰물보다 흐려","‘수물’은 처음에는 여자들이 이용하는 물통이었는데, 후에 ‘안갯물’이 ‘수물’보다 크다는 이유로 바꿔서 이용하게 되었다고 한다. 서하동(펄낭동네) 사람들이 주로 이용한 물통으로 현재 물통 구조는 한 칸으로 되어 있다. 수물 앞에서 해안까지 매립하면서 물통의 수변 공간은 축소되었고, 목욕하는 공간이라고 하지만 제구실을 못하고 있다. 현재 물통은 용출하는 부근만 남겨 놓은 둥근통으로 되어 있다. 수물 앞에서 바닷가까지 도로를 내려고 매립하면서 시멘트 포장을 하는 바람에 바다로 내려가는 ‘수물’의 흐름을 눈으로 확인할 수 없어 아쉽다. 이렇게 매립한 도로 밑으로 물은 흐르고, 그 흘러간 물은 해안 끝에 가서야 볼 수 있다. 해안가에 흘러내리는 물이 보이는데 이 물은 ‘수물’과 ‘안갯물’이 합수되어 흐르는 물이지 다른 명칭이 없고, 수량이 아주 풍부하다. ‘수물’의 서쪽은 경사진 언덕으로 예전엔 공터였고 주민들이 모여 운동을 하거나 쉬는 공간이었는데 개인소유가 되었고 그 후에 개인주택이 들어섰다. 주민들은 그 집을 지을 때 수물 옆으로 화장실을 만들면서 오물이 ‘수물’쪽으로 흘러내려 오염되었다고 생각하고 있다. 지금도 관리 또한 잘 하지 않아 쓰레기가 쌓여있고, 냄새도 고약하다. 담장 앞에 큰 전봇대가 있어 시야를 막고 있고, 표지판이 없어 이곳이 물통인지 전혀 알 수 없다. 물통은 작고, 면적에 비해 담장이 너무 높아서 물이 없을 때는 쓰레기통으로 오인할 소지가 있다. 어르신들은 다음과 같이 물맛을 표현한다. ‘흐리다’라는 표현은 물이 맑지 않고 탁하게 보인다는 말이 아니고 물맛이 깔끔하지 못하고 약간 짭짤한 맛이 돌 때 그렇게 표현한 것이었다. 수물을 청결하게 관리하기 위해 담장을 낮춰 지나가는 사람들이 볼 수 있게 하는 것은 어떨까?"
