국가코드,국가명,지점코드,지점명,관측개시일,위도,경도
1,인도,42182,뉴델리 사프다르정,1996-01-02,28.620167,77.209395
2,중국,54511,베이징,1996-01-05,39.913969,116.405598
15,캄보디아,48940,프놈펜,2009-02-18,11.570946,104.853105
22,라오스,48940,비엔티안,2002-06-27,17.977084,102.631008
26,말레이시아,48647,쿠알라룸푸르 수방,1996-01-02,3.139187,101.68905
27,베트남,48823,남딘,1996-01-02,20.248875,105.97239
53,미얀마,48001,푸타오,2002-08-27,27.317559,97.40544
62,필리핀,98425,마닐라,1996-01-03,14.599981,120.98368
124,인도네시아,96749,자카르타 수카르노-하타,1996-01-02,-6.209021,106.845023
125,태국,48455,방콕,1996-01-02,13.745902,100.532856
