위도,경도,name,addr:full,source:date,office
33.250001314,126.5669502107,에스디자인,제주특별자치도 서귀포시 동문동로 10 ,2020-09-21,advertising_agency
33.2617568554,126.4506410764,(주)윤산업,제주특별자치도 서귀포시 중산간서로 601,2020-09-21,advertising_agency
33.2636612384,126.4129132624,우리애드,제주특별자치도 서귀포시 색달중앙로 96-1 ,2020-09-21,advertising_agency
33.2617568554,126.4506410764,(주) 에스엠산업,제주특별자치도 서귀포시 중산간서로 601 ,2020-09-21,advertising_agency
33.2541918807,126.5631008284,주식회사 제이에스산업,제주특별자치도 서귀포시 일주동로8666번길 14 ,2020-09-21,advertising_agency
33.268739917,126.6444364563,디자인향,제주특별자치도 서귀포시 남원읍 일주동로 7860,2020-09-21,advertising_agency
33.2554256872,126.5764227177,태화산업건설(주),제주특별자치도 서귀포시 동홍중앙로52번길 39 ,2020-09-21,advertising_agency
33.2496925424,126.5530208694,주식회사한성기전,제주특별자치도 서귀포시 서홍로 19 ,2020-09-21,advertising_agency
33.2586985658,126.5114613014,오디자인,제주특별자치도 서귀포시 신북로 28,2020-09-21,advertising_agency
33.259221489,126.5523912156,아인광고,제주특별자치도 서귀포시 서홍로 128 ,2020-09-21,advertising_agency
33.25852448,126.5865164004,유성광고,제주특별자치도 서귀포시 검은여로 196 ,2020-09-21,advertising_agency
33.3083593023,126.7991815594,서우하우징주식회사,제주특별자치도 서귀포시 표선면 세화로26번길 11,2020-09-21,advertising_agency
33.3384478877,126.827304175,(주)씨앤피,제주특별자치도 서귀포시 표선면 번영로 3478-2,2020-09-21,advertising_agency
33.2558597421,126.577167536,준커뮤니케이션,제주특별자치도 서귀포시 516로 9,2020-09-21,advertising_agency
33.2562976399,126.5811300944,신세계광고,제주특별자치도 서귀포시 일주동로 8486 ,2020-09-21,advertising_agency
33.2547236293,126.5672430625,파라다이스건설(주),제주특별자치도 서귀포시 일주동로 8620-4 ,2020-09-21,advertising_agency
33.4063533393,126.896503314,솜씨광고기획,제주특별자치도 서귀포시 성산읍 일주동로 4754,2020-09-21,advertising_agency
33.3862185414,126.7948822239,지엔컴퍼니,제주특별자치도 서귀포시 표선면 중산간동로 4709,2020-09-21,advertising_agency
33.2467904507,126.3368691526,안덕광고기획,제주특별자치도 서귀포시 안덕면 화순로 89,2020-09-21,advertising_agency
33.2479648759,126.390231214,성공공사기획,제주특별자치도 서귀포시 상예로 15 ,2020-09-21,advertising_agency
33.247405491,126.5586574189,캐럿202 유한회사,제주특별자치도 서귀포시 중정로 22 ,2020-09-21,advertising_agency
33.246952332,126.3330997903,온누리광고기획,제주특별자치도 서귀포시 안덕면 화순중앙로54번길 24,2020-09-21,advertising_agency
33.2494479318,126.5692200186,이룸광고,제주특별자치도 서귀포시 중동로 70,2020-09-21,advertising_agency
33.2521984959,126.5691824852,(주)대영산업,제주특별자치도 서귀포시 문부로 13,2020-09-21,advertising_agency
33.2542646299,126.5691184747,아카데미광고기획,제주특별자치도 서귀포시 문부로11번길 24-1 ,2020-09-21,advertising_agency
33.25456644,126.5071727814,RAN DESIGN,제주특별자치도 서귀포시 신서귀로97번길 45 ,2020-09-21,advertising_agency
33.2522790413,126.5745074883,리우 커뮤니케이션,제주특별자치도 서귀포시 태평로 539 ,2020-09-21,advertising_agency
33.2575658647,126.5226075176,디자인준그래픽,제주특별자치도 서귀포시 호근서호로 172 ,2020-09-21,advertising_agency
33.2602944734,126.6161007544,그린종합광고,제주특별자치도 서귀포시 일주동로 8155 ,2020-09-21,advertising_agency
33.2729188317,126.5974580204,룩스애드,제주특별자치도 서귀포시 중산간동로 7635,2020-09-21,advertising_agency
33.2557283429,126.4580195226,디자인 팩토리,제주특별자치도 서귀포시 법화로 21 ,2020-09-21,advertising_agency
33.2437873659,126.4637720571,미도광고,제주특별자치도 서귀포시 이어도로417번길 15 ,2020-09-21,advertising_agency
33.2635631257,126.5486076761,나우애드,제주특별자치도 서귀포시 중산간동로 8126 ,2020-09-21,advertising_agency
33.2144616575,126.2574016796,제이광고,제주특별자치도 서귀포시 대정읍 최남단해안로125번길 35,2020-09-21,advertising_agency
33.3273275605,126.831957894,현대광고스포츠,제주특별자치도 서귀포시 표선면 표선중앙로 65,2020-09-21,advertising_agency
33.246329006,126.5982318221,준광고기획,제주특별자치도 서귀포시 문필로 126 ,2020-09-21,advertising_agency
33.2657520874,126.5704160064,늘푸른광고기획,제주특별자치도 서귀포시 중산간동로 7918 ,2020-09-21,advertising_agency
33.465161,126.905313,굿디자인,제주특별자치도 서귀포시 성산읍 일주동로 4098번길 92-67,2020-09-21,advertising_agency
