업종명,업소명,소재지(도로명),소재지(지번),소재지전화,영업자시작일,데이터기준일자
일반음식점,부영,,광주광역시 북구 임동 151 ,062-522-2054,1970-04-22,2020-12-09
일반음식점,신흥,광주광역시 북구 경열로 212-1 (유동),광주광역시 북구 유동 10-37 ,062-523-9749,1972-04-25,2020-12-09
일반음식점,복래향,광주광역시 북구 경열로 186 (유동),광주광역시 북구 유동 41-19 ,062-521-9621,1976-07-16,2020-12-09
일반음식점,매일,광주광역시 북구 천변우로283번길 14 (누문동),광주광역시 북구 누문동 144-23 ,062-527-8949,1981-10-19,2020-12-09
일반음식점,영미,광주광역시 북구 경양로 126 (유동),광주광역시 북구 유동 102-31 ,062-527-0248,1982-06-23,2020-12-09
일반음식점,동성,광주광역시 북구 무등로 1562 (금곡동),광주광역시 북구 금곡동 산 209-24 ,062-261-0344,1983-02-08,2020-12-09
일반음식점,홍콩,광주광역시 북구 동문대로186번길 8 (두암동),광주광역시 북구 두암동 574-5 ,062-262-7660,1984-02-09,2020-12-09
일반음식점,범두정,광주광역시 북구 동문대로 72-1 (두암동),광주광역시 북구 두암동 700-6 ,062-524-2472,1984-07-30,2020-12-09
일반음식점,명산송어,광주광역시 북구 중흥로 104 (신안동),광주광역시 북구 신안동 15-2 ,062-523-8585,1985-10-12,2020-12-09
일반음식점,금란정,광주광역시 북구 서방로107번길 5 (두암동),광주광역시 북구 두암동 886-16 ,062-526-5410,1987-12-03,2020-12-09
일반음식점,한솔갈비,광주광역시 북구 우치로 148-2 (용봉동),광주광역시 북구 용봉동 20-8 ,062-268-9660,1988-06-17,2020-12-09
일반음식점,육영식당,광주광역시 북구 중흥로91번길 7 (신안동),광주광역시 북구 신안동 140-9 ,062-523-9043,1990-05-09,2020-12-09
일반음식점,영일,광주광역시 북구 경양로 128 (유동),광주광역시 북구 유동 102-2 ,062-525-4806,1990-07-28,2020-12-09
일반음식점,설중매,광주광역시 북구 배재길 74 (금곡동),광주광역시 북구 금곡동 899 ,062-266-4830,1990-08-10,2020-12-09
일반음식점,삼호반점,,광주광역시 북구 용봉동 1223-11 ,062-522-3180,1990-08-30,2020-12-09
일반음식점,해남옥,광주광역시 북구 무등로 1550 (금곡동),광주광역시 북구 금곡동 산 209-24 ,062-523-6605,1990-09-26,2020-12-09
일반음식점,수진식당,광주광역시 북구 설죽로214번길 90 (용봉동),광주광역시 북구 용봉동 357-4 ,062-521-1250,1990-11-08,2020-12-09
일반음식점,천하회관,광주광역시 북구 서림로 105 (임동),광주광역시 북구 임동 42 ,062-521-7073,1990-12-19,2020-12-09
일반음식점,25년국밥,"광주광역시 북구 비엔날레로42번길 24 (운암동, 1층)",광주광역시 북구 운암동 119-60 1층 ,062-526-7511,1991-05-01,2020-12-09
일반음식점,송원산장,광주광역시 북구 무등로 1550 (금곡동),광주광역시 북구 금곡동 산 209-24 ,062-262-6116,1991-07-16,2020-12-09
일반음식점,소망식당,광주광역시 북구 용봉로 5 (용봉동),광주광역시 북구 용봉동 692-18 ,062-527-5668,1991-08-19,2020-12-09
일반음식점,보미,광주광역시 북구 경열로233번길 23-3 (유동),광주광역시 북구 유동 105-17 ,062-523-1785,1991-10-23,2020-12-09
일반음식점,진미오리탕,광주광역시 북구 중가로37번길 30-3 (유동),광주광역시 북구 유동 102-10 ,062-528-5253,1991-10-25,2020-12-09
